"y_1","x","y","y_2","y_4"
0.12,0,0.12,0.12,0.12
0.114,0.05,0.12,0.11415,0.114148
0.1083,0.1,0.114148,0.108585,0.10858
0.102885,0.15,0.10858,0.103292,0.103285
0.097741,0.2,0.103285,0.098256,0.098248
0.092854,0.25,0.098248,0.093466,0.093456
0.088211,0.3,0.093456,0.08891,0.088898
0.0838,0.35,0.088898,0.084575,0.084563
0.07961,0.4,0.084563,0.080452,0.080438
0.07563,0.45,0.080438,0.07653,0.076515
0.071848,0.5,0.076515,0.072799,0.072784
0.068256,0.55,0.072784,0.06925,0.069234
0.064843,0.6,0.069234,0.065874,0.065857
0.061601,0.65,0.065857,0.062663,0.062645
0.058521,0.7,0.062645,0.059608,0.05959
0.055595,0.75,0.05959,0.056702,0.056684
0.052815,0.8,0.056684,0.053938,0.053919
0.050174,0.85,0.053919,0.051309,0.05129
0.047666,0.9,0.05129,0.048807,0.048788
0.045282,0.95,0.048788,0.046428,0.046409
0.043018,1,0.046409,0.044165,0.044146
